payment_method_id,npayment_method_id,display_name
640002,CREDIT_CARD,Credit Card
640003,BANK_TRANSFER,Bank Transfer
640004,BML,Bill Me Later
640005,DW_APPLE_PAY,Apple Pay
640006,DW_ANDROID_PAY,Android Pay
640007,PayPal,PayPal
620001,COD,Cash On Delivery
610009,HostedCreditCard,HostedCreditCard
650001,GIFT_CERTIFICATE,Gift Certificate
650003,BANK_TRANSFER,Bank Transfer
650004,BML,Bill Me Later
650005,DW_APPLE_PAY,Apple Pay
650006,DW_ANDROID_PAY,Android Pay
650008,PAYMENTTECH_GIFTCARD,Gift Card
650009,Adyen,PayPal
1010002,COD,Cash On Delivery 
650011,COD,Cash on delivery
1450002,Paypal,Paypal
660001,HostedCreditCard,HostedCreditCard
670001,GIFT_CERTIFICATE,Gift Certificate
670002,CREDIT_CARD,Credit Card
670003,BANK_TRANSFER,Bank Transfer
670004,BML,Bill Me Later
670005,DW_APPLE_PAY,Apple Pay
670006,DW_ANDROID_PAY,Android Pay
670007,PayPal,PayPal
670008,COD,Cash On Delivery
670009,GIFT_CERTIFICATE,Gift Certificate
670010,CREDIT_CARD,Credit Card
670011,BANK_TRANSFER,Bank Transfer
670012,BML,Bill Me Later
670013,DW_APPLE_PAY,Apple Pay
670014,DW_ANDROID_PAY,Android Pay
670015,COD,COD
670016,PayPal,PayPal
670017,HostedCreditCard,Hosted Credit Card
670018,GIFT_CERTIFICATE,Gift Certificate
670019,CREDIT_CARD,Credit Card
670020,BANK_TRANSFER,Bank Transfer
670021,BML,Bill Me Later
670022,DW_APPLE_PAY,Apple Pay
670023,DW_ANDROID_PAY,Android Pay
670024,COD,COD
670025,PayPal,PayPal
670027,GIFT_CERTIFICATE,Gift Certificate
670028,CREDIT_CARD,Credit Card
670029,BANK_TRANSFER,Bank Transfer
670030,BML,Bill Me Later
